"REQUEST YOUR QUOTE","Demandez un devis"
"Shipping Partner","Livraison via"
"More","Plus"
"ALL REVIEWS","TOUS LES AVIS"
"View Cart","Voir Le Panier"
"Spotted on Instagram","Vu sur Instagram"
"Spotted on Facebook","Aimez-nous sur Facebook"
"READ MORE","LIRE PLUS"
"SEE MORE","VOIR PLUS"
"WHAT PEOPLE ARE SAYING ABOUT US","LIRE LES AVIS SUR NOUS"
"Shop By","Filtrer par"
"Place Your Order","Commandez"
"Change country","Changer de pays"
"SEE THE WHOLE TEAM","VOIR L'ÉQUIPE COMPLÈTE"
"How Do I Make My Own Custom Case","COMMENT PERSONNALISER SON PRODUIT"
"BUSINESS ORDER?","COMMANDE B2B"
"ADD ACCESSORIES TO YOUR ORDER","AJOUTEZ DES ACCESSOIRES À VOTRE COMMANDE"
"Sort By","Trier par"
"OTHER CUSTOMERS HAVE LIKED","QUE CHERCHEZ-VOUS ?"
"Related Searches:","Termes de recherche associés"
"Your order has been received.","Votre commande a été reçue !"
"Color %1 is out of stock and will be shipped on %2.","La couleur %1 est actuellement en rupture de stock et sera envoyée le %2."
"Add a Special Notecard","AJOUTER UN MESSAGE SP&Eacute;CIAL"
"Please type your card text here...","Ecrivez votre texte ici..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Le texte peut contenir un maximum de 5 lignes. N'utilisez pas d'émoticones ou de caractères spéciaux."
"Select a Gift Wrapping","SÉLECTIONNEZ UN EMBALLAGE CADEAU"
"Select your gift wrapping","Sélectionnez votre emballage cadeau"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Faites un cadeau inoubliable avec l'une de nos options d'emballage cadeaux originales. Votre cadeau doit être aussi beau à l'exterieur qu'à l'interieur!"
"No thank you","Non merci"
"One or more items in your order are not on stock. Your total order will be shipped on %s","Un ou plusieurs articles de votre commande sont en rupture de stock actuellement. Une fois complète, votre commande sera expédiée le %s"
"Please select one or more attributes.","Veuillez sélectionner un ou plusieurs attributs."
"Shipping Address","Adresse de livraison"
"Existing customer? Log in to your account","Déjà client? Connectez-vous à votre compte"
"Start typing your address or zip/postal code","Commencez à saisir votre adresse ou votre code postal"
"Not yet calculated","Pas encore calculé"
"My billing and shipping address are the same","Mon adresse de facturation et mon adresse de livraison sont les mêmes"
"Street Name","Nom de la rue"
"House Number","Numero"
"Additional Address","Complément d'adresse"
"Checkout Review","Examen de la caisse"
"Newsletter Subscriptions", "Abonnement à la Newsletter"
"Privacy Settings", "Paramètres de confidentialité"
"Select location","Sélectionnez l'emplacement"
"To place your order, you must agree to the terms and conditions.","Pour passer votre commande, vous devez accepter les termes et conditions."
"Enter Keyword or Item","Entrez un mot-clé ou un élément"
"Search entire store here...","Parcourez le magasin entier ici..."
"Bestsellers", "Meilleures ventes"
"Items %1-%2 of %3 total","Articles %1-%2 sur %3 au total"
"%1 Item","%1 Article"
"%1 Items","%1 Éléments"
"Prev","Précédent"
"Previous","Précédent"
"Next","Suivant"
"Your search returned no products.","Votre recherche n'a renvoyé aucun produit."
"Search results for: '%1'","Résultats de recherche pour: '%1'"
"There are no products matching the selection.","Aucun produit ne correspond à la sélection."
"Home","Accueil"
"Recently Viewed Products","Derniers Produits Consultés"
"Your search returned no results.","Votre recherche n'a donné aucun résultat."
"Show","Spectacle"
"per page","par page"
"Did you mean","Vouliez-vous dire"
"Related Terms","Termes Connexes"
"This is a required field.","Ceci est un champ obligatoire."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","La commande n'a pas été passée. Tout d'abord, acceptez les termes et conditions, puis réessayez de passer votre commande."
"Change Country", "Changer de pays"
"Checkout","Commander"
"Order now and your order will be shipped on %s!","Commandez maintenant et votre commande sera expédiée le %s!"
"Order now and your order will be shipped on %1!","Commandez maintenant et votre commande sera expédiée le %1!"
"Edit","Éditer"
"You added %s to your shopping cart.","Vous avez ajouté %s à votre panier."
"You added %1 to your shopping cart.","Vous avez ajouté %1 à votre panier."
"We can't add this item to your shopping cart right now.","Nous ne pouvons pas ajouter cet article à votre panier pour le moment."
"Cart Subtotal","Sous-total Du Panier"
"Recently added item(s)","Articles ajoutés récemment"
"Tax","TVA & autres taxes"
"Print receipt", "Imprimer le reçu"
"Your order # is: %1.", "Votre numéro de commande est: %1."
"We'll email you an order confirmation with details and tracking info.", "Nous vous enverrons par e-mail une confirmation de commande avec les détails et les informations de suivi."
"We expect to ship your order on %1 and your order will be delivered on %2.", "Nous prévoyons d'expédier votre commande le %1 et votre commande sera livrée le %2."
"We expect to ship your order on %1 and your order will be delivered between %2 and %3.", "Nous prévoyons d'expédier votre commande le %1 et votre commande sera livrée entre le %2 et le %3."
"We expect to ship your order on %1.", "Nous prévoyons d'expédier votre commande le %1."
"Sign In","Connexion"
"Sign Out","Déconnexion"
"The requested qty exceeds the maximum qty allowed in shopping cart","La quantité demandée dépasse la quantité maximale autorisée dans le panier"
"Are you sure you would like to remove this item from the shopping cart?","Voulez-vous vraiment supprimer cet article du panier?"
"The shipping method is missing. Select the shipping method and try again.","Le mode d'expédition est manquant. Sélectionnez le mode d'expédition et réessayez."
"Back to Store","Retour au magasin"
"For delivery questions.","Pour les questions de livraison."
"Ship here","Expédier ici"
"Subscribe to Newsletter","S'abonner à la newsletter"
"Some addresses can't be used due to the configurations for specific countries.","Certaines adresses ne peuvent pas être utilisées en raison des configurations pour des pays spécifiques."
"An error occurred on the server. Please try to place the order again.","Une erreur s'est produite sur le serveur. Veuillez réessayer de passer la commande."
"Submit chosen location","Soumettre l'emplacement choisi"
"Pickup locations found","Lieux de ramassage trouvés"
"Filter pickup locations","Filtrer les lieux de retrait"
"Postcode, city, street, house","Code postal, ville, rue, maison"
"Search","Chercher"
"search","chercher"
"Late open (after: 18:00)","Nocturne (après : 18h00)"
"Open early (before 9:00)","Ouvert tôt (avant 9h00)"
"Open on Sunday","Ouvert le dimanche"
"Choose a pickup location","Choisissez un lieu de ramassage"
"I would like to receive a new one","Je souhaite en recevoir un nouveau"
"I would like to get a refund","Je souhaite me faire rembourser"
"Select subcategory", "Sélectionnez la sous-catégorie"
"Choose your solution", "Choisissez votre solution"
"Print quality","Qualité d'impression"
"Product quality (item)","Qualité du produit (article)"
"Wrong product (does not fit)","Mauvais produit (ne convient pas)"
"It is not what I expected","Ce n'est pas ce que j'attendais"
"Package not yet arrived","Colis pas encore arrivé"
"Choose another Topic","Choisir un autre sujet"
"Need help? Contact us here", "Besoin d'assistance? Contactez-nous ici"
"Contact with Gocustomized support", "Contact avec le support Gocustomized"
"Hi %1, please specify your support request", "Bonjour %1, merci d'indiquer l'objet de votre demande"
"Hi %1, how can we help you?", "Bonjour %1, Comment pouvons-nous vous aider?"
"I need assistance with","J'ai besoin d'aide avec"
"My received product(s)", "Mon produit reçu"
"My delivery", "Ma livraison"
"Cancel order", "Annuler la commande"
"Others", "Autres"
"Please select your question or complaint", "Veuillez sélectionner votre question ou plainte"
"Contact", "Contacter"
"How can we help you?", "Comment pouvons-nous vous aider?"
"DIRECT CUSTOMER SUPPORT", "ASSISTANCE DIRECTE AU CLIENT"
"Login", "Connexion"
"Please login to continue with direct support.", "Veuillez vous connecter pour continuer avec l'assistance directe."
"Not (yet) a customer? You can get in contact with our support team <a href=""javascript:otherQuestion()"">here</a>", "Vous n'êtes pas (encore) client ou avez besoin d'un renseignement? Contactez-nous <a href=""javascript:otherQuestion()"">ici</a>"
"Next", "Suivant"
"Other", "Autre"
"change", "changer"
"Please fill in the required fields", "Veuillez remplir les champs obligatoires"
"View all topics","Afficher tout"
"Name","Nom"
"Email address","E-mail"
"Question related to","Votre question est liée à :"
"My preferred solution","Ma solution préféréé"
"Upload an image","Télécharger une image du problème"
"Description of the issue","Votre message"
"Submit","Valider"
"House number and addition","Numéro de maison et ajout"
"Which house number do you mean?","De quel numéro de maison parlez-vous?"
"Didn't find what you're looking for?","Vous n'avez pas trouvé ce que vous cherchiez ? Contactez-nous pour obtenir une assistance"
"contact us","nous contacter"
"Topics","Sujets"
"Search for help by topic, keywords","Recherche d'aide par sujet, mots-clés"
"Popular topics:","Sujets populaires:"
"return","remboursement"
"shipping","expédition"
"payment","méthodes de paiements"
"Cash On Delivery","Paiement à la livraison"
"Credit Card","Carte de crédit"
"Shipping & Handling","Frais de port"
"Account Dashboard","Tableau de bord du compte"
"Account Information","Informations du compte"
"Address Book","Carnet d'adresses"
"My Orders","Mes commandes"
"My Product Reviews", "Mes avis produits"
"Privacy Settings", "Paramètres de confidentialité"
"Add New Address","Ajouter une nouvelle adresse"
"Telephone","Téléphone"
"Address","Adresse"
"Street Address","Adresse"
"Use as My Default Billing Address","Utiliser comme adresse de facturation par défaut"
"Use as My Default Shipping Address","Utiliser comme adresse de livraison par défaut"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"Go back","Retour"
"* Required Fields","* Champs obligatoires"
"Save Address","Sauvegarder l'adresse"
"My Account","Mon compte"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Depuis le tableau de bord 'Mon compte', vous pouvez avoir un aperçu de vos récentes activités et mettre à jour les informations de votre compte. Sélectionnez un lien ci-dessous pour voir ou modifier les informations."
"Contact Information","Informations de contact"
"Change Password","Modifier le mot de passe"
"Newsletters","Newsletters"
"You aren't subscribed to our newsletter.","Vous n'êtes pas abonné à notre newsletter."
"Manage Addresses","Gérer les adresses"
"Default Billing Address","Adresse de facturation par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Edit Address","Éditer l'adresse"
"Email","Adresse mail"
"Current Password","Mot de passe actuel"
"New Password","Nouveau mot de passe"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Save","Sauvegarder"
"Default Addresses","Adresses par défaut"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Shipping Address","Modifier"
"Additional Address Entries","Saisies d'adresses supplémentaires"
"You have no other address entries in your address book.","Vous n'avez pas d'autres entrées d'adresse dans votre carnet d'adresses."
"Back","Retour"
"Order #","Commande n°"
"Date","Date"
"Status","Statut"
"action","Action"
"%s Item(s)","%s article(s)"
"%1 Item(s)","%1 article(s)"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"Policies text","Texte des politiques"
"Read Privacy Policy","Lire la politique de confidentialité"
"Read Cookie Policy","Lire la politique relative aux cookies"
"Here you can download a copy of your personal data which we store for your account in CSV format.","Ici, vous pouvez télécharger une copie de vos données personnelles que nous stockons pour votre compte au format CSV."
"Download","Télécharger"
"Anonymise personal data","Anonymiser les données personnelles"
"Anonymising your personal data means that it will be replaced
                        with non-personal anonymous information and before that you will get your
                        new login to your e-mail address (your password will stay the same). After this process,
                        your e-mail address and all other personal data will be removed from the website.","L'anonymisation de vos données personnelles signifie qu'elles seront remplacées
                        avec des informations anonymes non personnelles et avant cela, vous obtiendrez votre
                        nouvelle connexion à votre adresse e-mail (votre mot de passe restera le même). Après ce processus,
                        votre adresse e-mail et toutes les autres données personnelles seront supprimées du site Web."
"I agree and I want to proceed","Je suis d'accord et je veux continuer"
"Proceed","Procéder"
"Delete account","Supprimer le compte"
"Request to remove your account, together with all your personal data,
                         will be processed by our staff.<br>Deleting your account will remove all the purchase
                         history, discounts, orders, invoices and all other information that might be related to your
                         account or your purchases.<br>All your orders and similar information will be
                         lost.<br>You will not be able to restore access to your account after
                         we approve your removal request.","Demande de suppression de votre compte, ainsi que de toutes vos données personnelles,
                         sera traité par notre personnel.<br>La suppression de votre compte supprimera tous les achats
                         historique, remises, commandes, factures et toutes autres informations pouvant être liées à votre
                         compte ou vos achats.<br>Toutes vos commandes et informations similaires seront
                         perdu.<br>Vous ne pourrez pas restaurer l'accès à votre compte après
                         nous approuvons votre demande de suppression."
"I understand and I want to delete my account","Je comprends et je veux supprimer mon compte"
"Submit request","Envoyer la demande"
"You saved the account information.","Vous avez enregistré les informations du compte."
"You have placed no orders.","Vous n'avez passé aucune commande."
"Please select a region, state or province.","Veuillez sélectionner une région, un état ou une province."
"You updated your password.","Vous avez mis à jour votre mot de passe."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","S'il y a un compte associé à %1, vous recevrez un e-mail avec un lien pour réinitialiser votre mot de passe."
"If there is an account associated with %s you will receive an email with a link to reset your password.","S'il y a un compte associé à %s, vous recevrez un e-mail avec un lien pour réinitialiser votre mot de passe."
"Subscription option","Possibilité d'abonnement"
"Action","Action"
"Ship To","Envoyez à"
"Reorder","Commander à nouveau"
"Recently Ordered","Récemment commandé"
"View All","Voir tout"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","La connexion au compte était incorrecte ou votre compte est temporairement désactivé. Veuillez patienter et réessayer plus tard."
"Hi %s, Please include as much detail as possible","Bonjour %s, veuillez inclure autant de détails que possible"
"Login and password are required.","L'identifiant et le mot de passe sont obligatoires."
"Please note that we can only cancel your order if we did not start printing and shipping your product.","Veuillez noter que nous ne pouvons annuler votre commande que si nous n'avons pas commencé à imprimer et à expédier votre produit."
"You will be redirected to the PayPal website.","Vous serez redirigé vers le site PayPal."
"Select Store:","Sélectionnez le magasin:"
"Design now!","Concevez maintenant!"
"Thank you for registering with %s.","Merci de vous être enregistré avec %s."
"Items Ordered","Les articles commandés"
"Order information","Informations sur la commande"
"You have signed out and will go to our homepage in 5 seconds.","Vous vous êtes déconnecté et accédez à notre page d'accueil dans 5 secondes."
"You have not set a default shipping address.","Vous n'avez pas spécifié d'adresse de livraison par défaut."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","La longueur minimale de ce champ doit être égale ou supérieure à %1 symboles. Les espaces de début et de fin seront ignorés."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Le minimum de différentes classes de caractères dans le mot de passe est %1. Classes de caractères : minuscules, majuscules, chiffres, caractères spéciaux."
"Please enter the same value again.","Entrez à nouveau la même valeur s'il vous plait."
"The minimum password length is %s","La longueur minimale du mot de passe est %s"
"Please enter your email address below to receive a password reset link.","Veuillez entrer votre adresse e-mail ci-dessous pour recevoir un lien de réinitialisation de mot de passe."
"Set a New Password","Définir un nouveau mot de passe"
"Enter your coupon code if you have one.","Saisissez votre code de réduction."
"Enter a discount code if you got it.","Saisissez votre code de réduction."
"Forgot your password?","Mot de passe oublié?"
"Forgot Your Password","Mot de passe oublié"
"Forgot Your Password?","Mot de passe oublié?"
"Thanks for reaching out to us we'll soon be in contact.","Merci de nous avoir contactés, nous vous contacterons bientôt."
"Estimated delivery:","Livraison estimée:"
"Estimated delivery","Livraison estimée"
"Create an Account","Créer un compte"
"tracked_without_sign","Suivi et remis sans signature"
"tracked_with_sign","Suivi  et remis avec signature"
"moneyback_guarantee","Livraison garantie"
"Welcome to","Bienvenue sur"
"Welcome to %store_name.","Bienvenue sur %store_name."
"Welcome to %store_name","Bienvenue sur %store_name"
"Welcome to %s.","Bienvenue sur %s."
"Welcome to %1.","Bienvenue sur %1."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pour accéder à votre compte client et créer votre mot de passe, cliquez sur ce <a href=""%create_password_url"">lien</a>:"
"To sign in to our site and set a password, click on the <a href=""%s"">link</a>:","Pour accéder à votre compte client et créer votre mot de passe, cliquez sur ce <a href=""%s"">lien</a>:"
"To sign in to our site and set a password, click on the <a href=""%1"">link</a>:","Pour accéder à votre compte client et créer votre mot de passe, cliquez sur ce <a href=""%1"">lien</a>:"
"Email:","Email:"
"When you sign in to your account, you will be able to:","Vous connecter à votre compte vous permet de:"
"Proceed through checkout faster","Passer commande plus rapidement"
"Check the status of orders","Vérifier le status de vos commandes en cours"
"View past orders","Consulter l’historique de vos commandes passées"
"Store alternative addresses (for shipping to multiple family members and friends)","Enregistrer plusieurs adresses de livraison"
"Thank you, %store_name","Merci, %store_name"
"Thank you, %s","Merci, %s"
"Thank you, %1","Merci, %1"
"My Recent Reviews","Mes derniers commentaires"
"Invoices","Factures"
"Order Shipments","Commandez des envois"
"Back to My Orders","Retour à Mes commandes"
"Order # %1","N° de commande %1"
"Print All Invoices","Imprimer toutes les factures"
"Invoice #","Facture d'achat #"
"Print Invoice","La facture d'impression"
"Qty Invoiced","Qté facturée"
"Order Information","Informations sur la commande"
"You submitted your review for moderation.","Vous avez soumis votre avis à la modération."
"Print All Shipments","Imprimer tous les envois"
"Shipment #","Envoi #"
"Shipment #%1","Envoi #%1"
"Print Shipment","Imprimer l'envoi"
"Track this shipment","Suivre cet envoi"
"Qty Shipped","Qté expédiée"
"Refunds","Remboursements"
"Print All Refunds","Imprimer tous les remboursements"
"Refund #","Remboursement #"
"Refund #%1","Remboursement #%1"
"Print Refund","Imprimer le remboursement"
"Discount Amount","Montant de la remise"
"Row Total","Total"
"Discount (%1)","Remise (%1)"
"Total","Total"
"SEE LESS","VOIR MOINS"
"How do you rate this product?","Quelle note donneriez-vous à ce produit?"
"Nickname","Surnom"
"Summary of Your Review","Résumé de votre commentaire"
"Summary of your Review","Résumé de votre commentaire"
"Review","Commentaire"
"Submit Review","Poster le commentaire"
"Welcome, %1!","Bienvenue, %1!"
"Shipments","Envois"
"All Reviews","Tous les avis"
"View all reviews","Voir tous les commentaires"
"View All Reviews","Voir tous les commentaires"
"Update Cart","Mise à jour panier"
"I Agree","J'accepte"
"Cancel Coupon","Annuler le coupon"
"Your coupon was successfully applied.","Votre coupon a été appliqué avec succès."
"Your coupon was successfully removed.","Votre coupon a été supprimé avec succès."
"Your order number is: %1","Votre numéro de commande est : %1"
"Your order # is: <span>%1</span>.","Uw bestelnummer is: <span>%1</span>."
"We\'ll email you an order confirmation with details and tracking info.","We sturen je een orderbevestiging met details en trackinginformatie."
"Click <a href=""%1"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%1"" onclick=""this.target=\'_blank\'"">hier om</a> een kopie van uw orderbevestiging af te drukken."
"%1 was updated in your shopping cart.","%1 is bijgewerkt in uw winkelwagen."
"I have a question about","J'ai une question sur"
"Position","Position"
"How Do You Rate This Product?","Quelle note donneriez-vous à ce produit?"
"Ship Here","Expédier ici"
"Sort by","Trier par"
"Clear All","Alles entfernen"
"All","Tous"
"Cancel coupon","Annuler le coupon"
"Reviews","Commentaires"
"Click <a href=""%1"">here</a> to continue shopping.","Cliquez <a href=""%1"">ici</a> pour continuer vos achats."
"Password Strength","Fiabilité du mot de passe"
"No Password","Pas de mot de passe"
"Weak","Faible"
"Medium","Moyen"
"Strong","Fort"
"Very Strong","Très fort"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Il existe déjà un compte avec cette adresse e-mail. Si vous êtes sûr qu'il s'agit de votre adresse e-mail, <a href=""%1"">cliquez ici</a> pour obtenir votre mot de passe et accéder à votre compte."
"New Address","Nouvelle adresse"
"Sorry, no quotes are available for this order.","Désolé, aucun devis n'est disponible pour cette commande."
"Get shipping methods and rates","Obtenez les méthodes d'expédition et les tarifs"
"You don\'t need to select a shipping method.","Vous n'avez pas besoin de sélectionner un mode d'expédition."
"Incl. Tax","TTC"
"Incl. tax","TTC"
"Excl. Tax","HT"
"Excl. tax","HT"
"Total incl. tax","Total TTC"
"Total excl. tax","Total HT"
"Refund Shipping (Incl. Tax)","Remboursement de l'expédition (TTC)"
"Refund Shipping (Excl. Tax)","Remboursement de l'expédition (HT)"
"Refund Shipping","Remboursement de l'expédition"
"Click to change shipping method","Cliquez pour changer le mode de livraison"
"Save in address book","Enregistrer dans le carnet d'adresses"
"Please specify a regionId in shipping address.","Veuillez spécifier un regionId dans l'adresse de livraison."
"New Customers","Nouveaux clients"
"Registered Customers","Clients enregistrés"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte avec notre boutique, vous pourrez passer à la caisse plus rapidement, stocker plusieurs adresses de livraison, afficher et suivre vos commandes dans votre compte et plus encore."
"If you have an account with us, please log in.","Si vous avez un compte chez nous, veuillez vous connecter."
"Coupon code is not valid","Le code promo n'est pas valide"
"Login or Create an Account","Identifiez-vous ou créez un compte"
"View and Edit Cart","Afficher et modifier le panier"
"We can't find products matching the selection.","Nous ne pouvons pas trouver de produits correspondant à la sélection."
"GoCustomized - Design your product","GoCustomized - Concevez votre produit"
"You're reviewing:","Vous consultez maintenant:"
"You're reviewing:\n%s","Vous consultez maintenant:\n%s"
"You coupon was successfully applied.","Votre coupon a été appliqué avec succès."
"No Payment Methods","Aucun mode de paiement"
"You have no items in your shopping cart.","Vous n'avez aucun article dans votre panier."
"Quality","Qualité"
"star","étoile"
"Go Back","Retour"
"Please make sure your passwords match.","Merci de vérifier que vos mots de passe correspondent."
"We can\'t save the customer.","Nous ne pouvons pas sauver le client."
"Thank you for registering with %1.","Merci de vous être enregistré avec %1."
"Print Order","Ordre d'impression"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Date de la commande :</span> %1"
"Price","Prix"
"price","prix"
"Filter","Filtre"
"filter","filtre"
"Could not apply coupon code","Impossible d'appliquer le code promo"
"The shipping address is missing. Set the address and try again.","L'adresse de livraison est manquante. Définissez l'adresse et réessayez."
"Please type the letters below","Veuillez taper les lettres ci-dessous"
"Products Reviews","Avis sur les produits"
"Currently Shopping by","Vous consultez maintenant"
"Currently Shopping by:","Vous consultez maintenant:"
"Reviews %1","Commentaires %1"
"You save the address.","Vous enregistrez l'adresse."
"Reset My Password","Réinitialiser mon mot de passe"
"You have not set a default billing address.","Vous n'avez pas spécifié d'adresse de facturation par défaut."
"Incorrect CAPTCHA","CAPTCHA incorrecte"
"A login and a password are required.","Un login et un mot de passe sont requis."
"Your search returned no results.","Votre recherche n'a donné aucun résultat."
"Did you mean","Vouliez-vous dire"
"Search results for: '%1'","Résultats de la recherche pour : '%1'"
"Ordered","Commandé"
"Shipped","Expédié"
"Create New Customer Account","Créer un nouveau compte client"
"Personal Information","Informations personnelles"
"Sign Up for Newsletter","S'inscrire aux Newsletters"
"Login Information","Informations de connexion"
"Review by","Réviser par"
"Posted on","Posté sur"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Please select a pickup location.","Veuillez sélectionner un lieu de prise en charge."
"Already a customer?","Déjà client ?"
"Receive a faster answer about your order by login in below.","Recevez une réponse plus rapide au sujet de votre commande en vous connectant ci-dessous."
"Customer accounts are created when you place an order. An email to activate your account was sent the same day. Did not receive that email? Activate your account by resetting your password <a href=""%1"">here</a>.","Votre compte client à été créé lorsque vous avez passé commande. Un e-mail vous à été envoyé le jour même pour l'activer. Vous n'avez pas reçu cet e-mail ? Activez votre compte en réinitialisant votre mot de passe <a href=""%1"">ici</a>."
"Customer Contact","Contact (client)"
"Not yet a customer? If you haven’t placed an order with us, please fill out our contact form.","Pas encore client ? Si vous n'avez pas passé de commande chez nous, veuillez remplir notre formulaire de contact."
"Fill out contact form","Formulaire de contact (non client)"
"Not yet a customer?","Vous n'êtes pas encore client ?"
"If you haven’t placed an order with us, please fill out our contact form below. If your question is about your order, please login <span class=""login"">here</span>. This will help us give you a faster answer!","Si vous n'avez pas passé de commande chez nous, veuillez remplir notre formulaire de contact ci-dessous. Si votre question concerne votre commande, veuillez vous connecter <span class=""login"">ici</span>. Nous vous répondrons plus rapidement !"
"General contact form:","Formulaire de contact (non client):"
"Login to your account","Connectez-vous à votre compte"
"Check your inbox, we’ll send you...","Vérifiez votre boîte mail, nous allons vous envoyer..."
"An email to activate your Customer Account to follow up your order.","Un e-mail pour activer votre compte client afin de suivre votre commande."
"Your order confirmation with the details of your purchase.","Votre confirmation de commande avec les détails de votre achat."
"Activate your customer account – Review your order details in one place.","Activez votre compte client - Consultez les détails de votre commande à un seul endroit."
"Your customer account has been created.","Votre compte client a été créé."
"Follow up your order, get direct support, and much more by activating your account! <br/>You just need to set up a password.","Suivez votre commande, bénéficiez d'une assistance rapide et bien plus encore en activant votre compte ! <br/>Vous avez juste besoin de créer un mot de passe."
"<a href=""%create_password_url"">Activate your account</a>","<a href=""%create_password_url"">Activez votre compte</a>"
"Thank you for your purchase!","Merci pour votre achat !"
"Continue Shopping","Continuer mes achats"
"It might help you to check our delivery information.","Nos informations de livraions peuvent vous aider à trouver votre réponse."
"By placing an order a customer account is automatically created.","En passant commande un compte client sera automatique crée."
"You are signed out","Vous êtes déconnecté"
"Please enter your email address below. You will receive a link to reset your password.","Veuillez insérer votre adresse courriel ci-bas. Vous recevrez un lien pour réinitialiser votre mot de passe."
"Track Shipment","Suivi de livraison"
"No Faqs Found!","Aucune FAQs trouvée !"
"Your order was successfully received (order number: %1).","Nous avons bien reçu votre commande (numéro de commande : %1)."
"We expect to deliver your order around %1 and %2.","Sa livraison est prévue entre le %1 et le %2."
"We expect to deliver your order on %1.","Sa livraison est prévue le %1."
"Select one or multiple options to receive your order ready for a gift.","Sélectionnez une ou plusieurs options pour recevoir votre commande prête à être offerte."
"Add to Cart","Ajouter au Panier"
"ADD TO CART","AJOUTER AU PANIER"
"Choose your gift options","Choisissez vos options cadeau"
"I want it","Je le veux"
"Add","Ajouter"
"ADD","AJOUTER"
"Complete your order","Complétez votre commande"
"COMPLETE YOUR ORDER","COMPLETEZ VOTRE COMMANDE"
"CONTINUE TO CART","ALLER AU PANIER"
"Gift options","Paquet cadeau"
"Make it a gift","Faites-en un cadeau"