"shipment_text_producing_days_1","Order before 3pm on a business day, ready to ship the same day."
"shipment_text_producing_days_2","Order before 3pm on a business day, ready to ship within 2 business days."
"shipment_text_producing_days_3","Order before 3pm on a business day, ready to ship within 3 business days."
"shipment_text_producing_days_4","Order before 3pm on a business day, ready to ship within 4 business days."
"shipment_text_producing_days_5","Order before 3pm on a business day, ready to ship within 6 business days."
"shipment_text_producing_days_8","Order before 3pm on a business day, ready to ship within 8 business days."
"shipment_text_producing_days_10","Order before 3pm on a business day, ready to ship within 10 business days."
"color_%s_shipment_text_producing_days_%s","This %s item will be ready to ship in %s business day(s)."
"The total production time of the items in your basket is: %s days.","The items in your basket will be ready to ship in %s business day(s). These need to be added to the delivery time below."
"Make it a gift","Gift options"
"Add a Special Notecard","ADD A SPECIAL MESSAGE"
"Please type your card text here...","Please type your text here..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Text may be a maximum of 5 lines. Do not use emojis or special characters."
"Select a Gift Wrapping","SELECT A GIFT WRAPPING"
"Select your gift wrapping","Select your Wrapping Paper"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Make a gift to remember with one of our original wrapping options. Your present should shine on the inside and the outside!"
"No thank you","No, thank you"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" will be applied on your check-out or payment page."
"Mage_Catalog::Position","Popularity"
"HOW DO I MAKE MY OWN CUSTOM CASE","HOW TO DESIGN YOUR OWN"
"2nd Line Address","additional information"
"not_tracked","not tracked"
"tracked_without_sign","tracked without signature"
"tracked_with_sign","tracked with signature"
"moneyback_guarantee","Guaranteed delivery"
"Proceed to Checkout","Checkout"
"Estimated delivery:","Estimated delivery"
"%s - %s","between %s and %s"
"upload_photo","Upload photo"
"change_picture","Pick another photo"
"rotate_left","Rotate left"
"rotate_right","Rotate right"
"show_design","Show design"
"case_color","Case colour"
"design_studio_link","For more design options, go to our Design Studio!"
"design_studio_popup_text","Want to add multiple pictures, texts and filters?"
"design_studio_popup_link","Check out our Design Studio"
"Reason for cancelation","Reason for cancelation:"
"Wrong product","I've ordered the wrong product."
"Changed mind","I've changed my mind."
"Please note","Please note that we can only cancel your order if we did not start printing and shipping your product."
"edit_picture","Edit"
"Sign In","Log In"
"Sign Out","Log Out"
"Delivery and payment","Payment & Delivery"
"Company","Company (optional)"
"Huisnr.","House No."
"Adres","1st Line Address"
"toev.","2nd Line Address"
"Apply Discount Code","Discount Codes"
"Enter discount code","Enter your coupon code if you have one."
"Apply Discount","Apply Coupon"
"Quantity","Qty"
"Cart Subtotal","Subtotal"
"Shipping","Shipping & Handling"
"Order Total","Grand Total"
"Place Order","Place Your Order"
"Shipping Methods","Shipping Method"
"House Number","House No."
"Search for help by topic, keywords","Popular topics: shipping, return, payment"