"hm:Cart Subtotal:","Cart Subtotal:"
"Special Price:","Now only:"
"My Wishlist","Wishlist"
"My Wishlist (%d item)","Wishlist (%d)"
"My Wishlist (%d items)","Wishlist (%d)"
"My Account","Account"
"Cart","Cart"
"View Cart","View Cart"
"View all items in your shopping cart","View all items in your shopping cart"
"View All","View All"
"Compare","Compare"
"Compare Products","Compare Products"
"Compare all selected items","Compare all selected items"
"Currency","Currency"
"Language","Language"
"Sign Up","Sign Up"
"Enter your e-mail","Enter your e-mail"
"Click to see more products from %s","Click to see more products from %s"
"Related Products","Related"
"Zoom","Zoom"
"image {current} of {total}","{current} / {total}"
"New","New"
"Sale","Sale"
"Categories","Categories"
"Menu","Menu"
"Email to a Friend","Share"
"Product Tags","Tags"
"Product Description","Details"
"Additional Information","Additional Info"
"Other Products","Other Products"
"default:Add to Cart","Add to Cart"
"GoCustomized - Design your product","Design your product"
"SUBSCRIBE FOR OFFERS & A 10% DISCOUNT!","SUBSCRIBE TO RECEIVE OUR OFFERS!"
"Geen betaalinformatie benodigd","No payment information needed"
"shipment_text_producing_days_1","Order before 3pm on a business day, ready to ship the same day."
"shipment_text_producing_days_2","Order before 3pm on a business day, ready to ship within 2 business days."
"shipment_text_producing_days_3","Order before 3pm on a business day, ready to ship within 3 business days."
"shipment_text_producing_days_4","Order before 3pm on a business day, ready to ship within 4 business days."
"shipment_text_producing_days_5","Order before 3pm on a business day, ready to ship within 6 business days."
"shipment_text_producing_days_8","Order before 3pm on a business day, ready to ship within 8 business days."
"shipment_text_producing_days_10","Order before 3pm on a business day, ready to ship within 10 business days."
"color_%s_shipment_text_producing_days_%s","This %s item will be ready to ship in %s business day(s)."
"The total production time of the items in your basket is: %s days.","The items in your basket will be ready to ship in %s business day(s). These need to be added to the delivery time below."
"Make it a gift","Gift options"
"Add a Special Notecard","Add a special message"
"Please type your card text here...","Please type your text here..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","Text may be a maximum of 5 lines. Do not use emojis or special characters."
"Select a Gift Wrapping","Select a Gift Wrapping"
"Select your gift wrapping","Select your wrapping Paper"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Make a gift to remember with one of our original wrapping options. Your present should shine on the inside and the outside!"
"No thank you","No, thank you"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" will be applied on your check-out or payment page."
"Other brands","More brands"
"Mage_Catalog::Position","Popularity"
"2nd Line Address","additional information"
"not_tracked","not tracked"
"tracked_without_sign","tracked without signature"
"tracked_with_sign","tracked with signature"
"moneyback_guarantee","Guaranteed delivery"
"Proceed to Checkout","Checkout"
"Estimated delivery:","Estimated delivery"
"%s - %s","between %s and %s"
"upload_photo","Upload photo"
"change_picture","Pick another photo"
"rotate_left","Rotate left"
"rotate_right","Rotate right"
"show_design","Show design"
"case_color","Case colour"
"design_studio_link","For more design options, go to our Design Studio!"
"design_studio_popup_text","Want to add multiple pictures, texts and filters?"
"design_studio_popup_link","Check out our Design Studio"
"Reason for cancelation","Reason for cancelation:"
"Wrong product","I've ordered the wrong product."
"Changed mind","I've changed my mind."
"Please note","Please note that we can only cancel your order if we did not start printing and shipping your product."
"edit_picture","Edit"
"Printing specialist","Printing specialist"
"Secure payment methods","Secure payment methods"
"High customer satisfaction","High customer satisfaction"
"Account","Account"
"Sign In","Log In"
"Contact","Contact"
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.", "Please enter more characters or clean leading or trailing spaces."
"Create New Customer Account", "Create an Account"
"Delivery and payment","Checkout"
"Company","Company (optional)"
"House Number","House No."
"Search for help by topic, keywords","Popular topics: shipping, return, payment"