"hm:Cart Subtotal:","Subtotaal winkelwagen (Incl. BTW):"
"Thank you for registering with %s.","Bedankt voor het registreren bij %s."
"Your order has been received.","Uw bestelling is ontvangen."
"Contact","Vragen & Contact"
"Proceed to Checkout","Naar Betalen"
"Continue Shopping","Ga door met winkelen"
"Place Order","Bestelling Plaatsen"
"default:Add to Cart","In Winkelwagen"
"Shop By","Filter op"
"Show more","Bekijk meer"
"SUBSCRIBE FOR OFFERS & A 10% DISCOUNT!","MELD JE AAN OM ONZE AANBIEDINGEN TE ONTVANGEN!"
"Your email","Je e-mail"
"Sign Up!","Meld je aan!"
"Verkoop","Sale"
"Special Price","Speciale Prijs"
"Add Accessories To Your Order","Voeg Accessoires Toe Aan Je Bestelling"
"Color %1 is out of stock and will be shipped on %2.","De kleur %1 is momenteel uit voorraad en wordt verstuurd op %2."
"sale","Sale"
"hm:Cart Subtotal","Totaalprijs"
"SEE MORE","BEKIJK MEER"
"shipment_text_producing_days_1","Op werkdagen voor 16:00 uur besteld, morgen in huis."
"shipment_text_producing_days_2","Bestel voor 16:00 uur en je bestelling wordt binnen 2 werkdagen verzonden."
"shipment_text_producing_days_3","Bestel voor 16:00 uur en je bestelling wordt binnen 3 werkdagen verzonden."
"shipment_text_producing_days_4","Bestel voor 16:00 uur en je bestelling wordt binnen 4 werkdagen verzonden."
"shipment_text_producing_days_5","Bestel voor 16:00 uur en je bestelling wordt binnen 6 werkdagen verzonden."
"shipment_text_producing_days_8","Bestel voor 16:00 uur en je bestelling wordt binnen 8 werkdagen verzonden."
"shipment_text_producing_days_10","Bestel voor 16:00 uur en je bestelling wordt binnen 10 werkdagen verzonden."
"color_%s_shipment_text_producing_days_%s","Dit %s artikel kan binnen %s werkdag(en) worden verzonden."
"The total production time of the items in your basket is: %s days.","Jouw bestelling bevat artikelen met een productietijd van %s dagen. Deze dienen opgeteld te worden bij onderstaande levertijd."
"Add a Special Notecard","Voeg een speciaal bericht toe"
"Please type your card text here...","Voer hier je tekst in..."
"You have a maximum of 5 lines. Please use latin characters only and no emoticons.","De tekst heeft een maximum van 5 regels. Gebruik geen emoji's of speciale tekens."
"Select a Gift Wrapping","Kies een cadeauverpakking"
"Select your gift wrapping","Kies je cadeauverpakking"
"Make your product extra special by wrapping it in our high quality, shiny and beautiful gift wrapping!","Maak je cadeau onvergetelijk met een van onze originele verpakkingsopties. Laat je cadeau opvallen met een van onze geweldige verpakkingen."
"No thank you","Nee, bedankt"
"One or more items in your order are not on stock. Your total order will be shipped on %s","Een of meerdere artikelen van je bestelling zijn niet op voorraad. Je complete bestelling wordt verstuurd op %s"
"Coupon code ""%s"" was applied.","De kortingscode ""%s"" wordt toegepast op de betaalpagina."
"Other brands","Meer merken"
"Sort By","Sorteer"
"Mage_Catalog::Position","Populariteit"
"Delete Account","Account verwijderen"
"Your account has been successfully deleted and/or anonymised.","Uw account is succesvol verwijderd en/of geanonimiseerd."
"If you proceed to delete your account, all account data we hold about you will be destroyed or anonymised. This operation cannot be un-done.","Als u doorgaat met het verwijderen van uw account, worden alle accountgegevens die wij over u hebben vernietigd. Deze bewerking kan niet ongedaan worden gemaakt."
"Delete my account","Verwijder mijn account"
"Make a picture of your purchase to clearly illustrate your issue","Maak een foto van uw aankoop om uw probleem duidelijk weer te geven"
"Type your comment in 200 characters here...","Typ hier je reactie in 200 karakters"
"Upload","Upload"
"2nd Line Address","Toevoeging"
"not_tracked","Zonder tracking"
"tracked_without_sign","Track&Trace zonder handtekening"
"tracked_with_sign","Track&Trace met handtekening"
"moneyback_guarantee","Gegarandeerde levering"
"House No.","Huisnummer"
"Your order is expected to be ready for shipping on %s","Uw bestelling is naar verwachting gereed voor verzending op %s"
"Mage_Checkout::Continue Shopping","Ga door met winkelen"
"Mage_Checkout::Proceed to Checkout","Betalen"
"Street","Straat"
"Create account for later use","Maak een account voor later gebruik"
"Delivery","Verzendwijze"
"Estimated delivery:","Geschatte levering:"
"Estimated delivery","Geschatte levering"
"Collect from a pick-up point","Ophalen bij ophaalpunt"
"Collect your parcel at a time that is convenient for you","Haal je bestelling af op ieder gewenst tijdstip."
"No invoice included in the parcel","Geen factuur meegeleverd"
"We expect to ship your order on %s and your order will be delivered on %s","We verzenden je bestelling op %s en verwachten deze op %s bij je te bezorgen."
"We expect to ship your order on %s and your order will be delivered between %s and %s","We verzenden je bestelling op %s en verwachten deze tussen %s en %s bij je te bezorgen."
"%s - %s","tussen %s en %s"
"upload_photo","Kies foto"
"change_picture","Kies nieuwe foto"
"rotate_left","Draai links"
"rotate_right","Draai rechts"
"show_design","Laat ontwerp zien"
"case_color","Kies jouw hoesje"
"design_studio_link","Ga naar onze Ontwerp Studio voor meer ontwerp mogelijkheden!"
"design_studio_popup_text","Wil je meerdere foto's, teksten en filters gebruiken in je ontwerp?"
"design_studio_popup_link","Ga naar onze Ontwerp Studio"
"Glossy","Glanzend"
"Reason for cancelation","Reden voor annulering"
"Wrong product","Ik heb het verkeerde product besteld"
"Changed mind","Ik ben van gedachten veranderd"
"Please note","Let op: we kunnen je bestelling alleen annuleren als deze nog niet geprint of verzonden is"
"View Cart","Naar Winkelwagen"
"edit_picture","Wijzigen"
"Printing specialist","Printspecialist"
"Secure payment methods","Veilige betaling"
"High customer satisfaction","Hoge klanttevredenheid"
"Account","Mijn account"
"Sign In","Inloggen"
"Contact","Contact"
"READ MORE","LEES VERDER"
"View Details","Details bekijken"
"Checkout","Naar Betalen"
"Shipping Address","Afleveradres"
"Email Address","E-mail adres"
"First Name","Voornaam"
"Last Name","Achternaam"
"City","Plaats"
"Company","Bedrijf (optioneel)"
"Street Address: Line 1","Straatadres: regel 1"
"Country","Land"
"State/Province","Staat / provincie"
"Zip/Postal Code","Postcode"
"Phone Number","Telefoonnummer"
"Shipping Method","Verzendwijze"
"Shipping Methods","Verzendwijze"
"Payment Method","Betaalwijze"
"Order Summary","Besteloverzicht"
"Cart Subtotal","Subtotaal"
"Shipping","Verzenden"
"Tax","BTW"
"Order Total","Odertotaal"
"Design now!","Ontwerp nu!"
"Details","Productbeschrijving"
"Additional Info","Extra informatie"
"Reviews","Beoordelingen"
"Shopping Cart","Winkelwagen"
"Items %1-%2 of %3 total","Artikelen %1-%2 van %3 in totaal"
"%1 Item","%1 Artikel"
"%1 Items","%1 Artikelen"
"Show","Toon"
"per page","per pagina"
"Page","Pagina"
"Page:","Pagina:"
"Subtotal","Subtotaal"
"Grand Total","Eindtotaal"
"* Required Fields","* Verplichte velden"
"A new password was sent","Er is een nieuw wachtwoord verzonden"
"Account Dashboard","Account-dashboard"
"Account Information","Account-gegevens"
"Account Sharing Options","Opties account delen"
"Account information was successfully saved","Account-gegevens zijn met succes opgeslagen"
"Action","Actie"
"Add New Address","Nieuw adres toevoegen"
"Add New Customer","Nieuwe klant toevoegen"
"Add New Customer Group","Nieuwe klantengroep toevoegen"
"Added From","Toegevoegd vanaf"
"Additional Address Entries","Extra Adressen"
"Address","Adres"
"Address Book","Adresboek"
"Address Information","Adres Informatie"
"Addresses","Adressen"
"Admin","Beheerder"
"All","Alle"
"All Store Views","Alle winkel-zichten"
"All countries","Alle landen"
"Always optional","Altijd Optioneel"
"Amount","Bedrag"
"Approved","Goedgekeurd"
"Are you sure that you want to remove this item?","Weet u zeker dat u dit artikel wilt verwijderen?"
"Are you sure you want to cancel adding of this address?","Weet u zeker dat u het toevoegen van dit adres wilt annuleren?"
"Are you sure you want to delete this address?","Weet u zeker dat u dit adres wilt verwijderen?"
"Are you sure?","Weet u het zeker?"
"Array of Entity collections is expected","Array van 'Entity collections' wordt verwacht"
"Assign a customer group","Klantengroep toewijzen"
"Average Sale","Gemiddeld bedrag"
"Back","Ga terug"
"Back to Login","Terug naar log-in venster"
"Bad request.","Foute aanvraag"
"Bill to Name","Stuur rekening op naam"
"Billing Information","Betaalgegevens"
"Bought From","Gekocht van"
"CSV","CSV"
"Can't save address","Kan het adres niet opslaan"
"Can't save customer","Kan klant niet opslaan"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Kan accounts niet overal delen, omdat sommige accounts hetzelfde e-mailadres op verschillende websites gebruiken en niet samengevoegd kunnen worden."
"Cancel","Annuleren"
"Change Account Password","Account-wachtwoord wijzigen"
"Change Billing Address","Wijzigen"
"Change Password","Wachtwoord wijzigen"
"Change Shipping Address","Wijzigen"
"Company","Bedrijf (optioneel)"
"Config","Config"
"Confirm New Password","Bevestig nieuw wachtwoord"
"Confirm Password","Bevestig wachtwoord"
"Confirmation Link Email","Bevesting-link e-mail"
"Confirmed","Bevestigd"
"Contact Information","Contactgegevens"
"Country","Land"
"Create","Aanmaken"
"Create New Account Options","Nieuwe account-opties aanmaken"
"Create New Customer Account","Nieuw klant-account aanmaken"
"Create Order","Bestelling aanmaken"
"Create an Account","Account aanmaken"
"Create customer","Klant aanmaken"
"Create customer address","Klantadres aanmaken"
"Current Password","Huidig wachtwoord"
"Customer","Klant"
"Customer Addresses","Klantadressen"
"Customer Api","Klant API"
"Customer Configuration","Klant-configuratie"
"Customer Group","Klantengroep"
"Customer Group was successfully deleted","Klantengroep is verwijderd"
"Customer Group was successfully saved","Klantengroep is opgeslagen"
"Customer Groups","Klantengroepen"
"Customer Information","Klantgegevens"
"Customer Login","Klant-login"
"Customer Since","Klant sinds"
"Customer View","Overzicht"
"Customer collection expected","'Customer collection' verwacht"
"Customer doesn't have primary billing address","Klant heeft geen primair factuuradres"
"Customer email already exists","E-mailadres van klant bestaat al"
"Customer website id must be specified, when using website scope.","Website-id van klant moet gespecificeerd zijn bij gebruik van website scope."
"Customers","Klanten"
"Customers Only","Alleen klanten"
"Customers Section","Sectie Klanten"
"DD","DD"
"Date","Datum"
"Date Added","Datum toegevoegd"
"Date of Birth","Geboortedatum"
"Date of Birth is required.","Geboortedatum is verplicht"
"Day","Dag"
"Days in Wishlist","Dagen op verlanglijst"
"Default Addresses","Standaard-adressen"
"Default Billing Address","Standaard-factuuradres"
"Default Email Domain","Standaard e-maildomein"
"Default Group","Standaardgroep"
"Default Shipping Address","Standaard-leveringsadres"
"Default Welcome Email","Standaard welkomst-mail"
"Delete","Verwijder"
"Delete Address","Adres verwijderen"
"Delete Customer","Klant verwijderen"
"Delete Customer Group","Klantengroep verwijderen"
"Delete customer","Klant verwijderen"
"Delete customer address","Klantadres verwijderen"
"Deleted Stores","Verwijderde winkels"
"Disabled","Uitgeschakeld"
"Edit","Wijzigen"
"Edit Account Info","Accountgegevens bewerken"
"Edit Account Information","Accountgegevens bewerken"
"Edit Address","Adres bewerken"
"Edit Address Entry","Adres bewerken"
"Edit Customer Group ""%s""","Bewerken klantengroep ""%s"""
"Edit Customer Groups","Klantengroepen bewerken"
"Edit Customer's Address","Klantadres bewerken"
"Edit Group","Groep bewerken"
"Edit Newsletter Subscription","Nieuwsbrief-abonnement bewerken"
"Edit Newsletters","Nieuwsbrieven bewerken"
"Edit Personal Information","Persoonsgegeves bewerken"
"Email","E-mail"
"Email Address","E-mailadres"
"Email Sender","E-mail afzender"
"Entity collection is expected","'Entity collection' wordt verwacht"
"Error during retrieval of option value: %s","Fout tijdens opvragen van optiewaarde: %s-"
"Ext. Price","Ext. prijs"
"Failed to confirm customer account.","Bevestigen van klantaccount mislukt"
"Fax","Fax"
"First Name","Voornaam"
"First name can't be empty","Veld Voornaam mag niet leeg zijn"
"Forgot Email Sender","Afzender e-mail vergeten"
"Forgot Email Template","Template e-mail vergeten"
"Forgot Your Password","Uw wachtwoord vergeten"
"Forgot Your Password?","Uw wachtwoord vergeten?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Vanuit uw Account Dashboard kunt u een snapshot bekijken van uw recente account-activiteit en uw accountgegevens updaten. Selecteer een link hieronder om gegevens te bekijken en te bewerken."
"General Subscription","Algemeen abonnement"
"Global","Systeem"
"Go to Address Book","Ga naar adresboek"
"Grand Total: %s","Totaal: %s"
"Group","Groep"
"Group ""%s"" can not be deleted","Groep ""%s"" kan niet worden verwijderd"
"Group Information","Groepsgegevens"
"Group Name","Groepsnaam"
"Guest","Gast"
"HTML","HTML"
"Hello, %1!","Hallo, %1!"
"ID","ID"
"IP Address","IP-adres"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ongeldige attribuut-optie opgegeven voor attribuut %s (%s), record wordt overgeslagen"
"Invalid attribute set specified, skipping the record","Ongeldige attributenset opgegeven, record wordt overgeslagen"
"Invalid current password","Huidig wachtwoord ongeldig"
"Invalid customer data","Ongeldige klantgegevens"
"Invalid email address","Ongeldig e-mailadres"
"Invalid email address ""%s""","Ongeldig e-mailadres ""%s"""
"Invalid login or password.","Ongeldige gebruikersnaam en/of wachtwoord."
"Invalid option id specified for %s (%s), skipping the record","Ongeldig optie-ID opgegeven voor %s (%s), record wordt overgeslagen"
"Invalid store specified, skipping the record","Ongeldige winkel opgegeven, record wordt overgeslagen"
"Items Order","Artikelen in bestelling"
"Last 5 Orders","Laatste 5 bestellingen"
"Last Activity","Laatste activiteit"
"Last Name","Achternaam"
"Last Url","Laatste URL"
"Last Viewed Items","Laatst bekeken artikel"
"Last date subscribed","Laatste datum geabonneerd"
"Last date unsubscribed","Laatste datum uitgeschreven"
"Last name can't be empty","Achternaam moet ingevuld zijn"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Leave empty for default (2). Valid range: 1-4",""
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Log In","Inloggen"
"Log Out","Log uit"
"Sign Out","Log uit"
"Log in or Create an Account","Log in of maak een account aan"
"Login","Inloggen"
"Login Information","Login-gegevens"
"Login and password are required","Login en wachtwoord zijn verplicht"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Beheer adressen"
"Manage Customers","Beheer klanten"
"Missing email, skipping the record","E-mail ontbreekt, record wordt overgeslagen"
"Missing firstname, skipping the record","Voornaam ontbreekt, record wordt overgeslagen"
"Missing lastname, skipping the record","Achternaam ontbreekt, record wordt overgeslagen"
"Month","Maand"
"My Account","Mijn account"
"My Account Dashboard","Mijn account-dashboard"
"My Dashboard","Mijn dashboard"
"My Orders","Mijn orders"
"My Reviews","Mijn reviews"
"My Tags","Mijn tags"
"My Wishlist","Mijn verlanglijst"
"Name","Naam"
"Name and Address Options","Naam- en adres-opties"
"Never","Nooit"
"New Address","Nieuw adres"
"New Address Entry","Nieuw adres toevoegen"
"New Customer","Nieuwe klant"
"New Customer Address","Nieuw klantadres"
"New Customer Group","Nieuwe klantengroep"
"New Customer Groups","Nieuwe klantengroepen"
"New Group","Nieuwe groep"
"New Password","Nieuw wachtwoord"
"New account","Nieuw account"
"New account confirmation key","Bevestigingscode nieuw account"
"New account confirmed","Nieuw account bevestigd"
"New password","Nieuw wachtwoord"
"Newsletter","Nieuwsbrief"
"Newsletter Finish","Nieuwsbrief afsluiten"
"Newsletter Information","Nieuwsbriefgegevens"
"Newsletter Received","Nieuwsbrief ontvangen"
"Newsletter Start","Nieuwsbrief starten"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Newsletters","Nieuwsbrieven"
"No Items Found","Geen artikelen gevonden"
"No Newsletter Found","Geen nieuwsbrief gevonden"
"No item specified.","Geen artikel gespecificeerd."
"No product collections found","Geen productverzamelingen gevonden"
"Not Sent","Niet verzonden"
"Not confirmed, can login","Niet bevestigd, kan inloggen"
"Not confirmed, cannot login","Niet bevestigd, kan niet inloggen"
"Number of lines in a street address","Aantal regels voor een straatnaam"
"Offline","Offline"
"Online","Online"
"Online Customers","Online-klanten"
"Online Customers Options","Online-klanten Opties"
"Online Minutes Interval","Online-minuteninterval"
"Order #","Bestelnummer"
"Order #%s (%s)","Bestelling #%s (%s)"
"Order List...","Bestellijst..."
"Orders","Bestellingen"
"PDF","PDF"
"Password","Wachtwoord"
"Password Management","Beheer wachtwoorden"
"Password Options","Wachtwoord-opties"
"Password can't be empty","Wachtwoord mag niet leeg zijn."
"Password fields can't be empty.","Wachtwoordvelden mogen niet leeg zijn."
"Password forgotten","Wachtwoord vergeten"
"Password minimal length must be more %s","Minimale wachtwoordlengte moet meer zijn dan %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Wachtwoord moet uit tenminste zes tekens bestaan. Spaties voor- of achteraan zullen genegeerd worden ."
"Paused","Gepauzeerd"
"Payment Method","Betaalwijze"
"Pending","Wachtende"
"Per Website","Per website"
"Personal Information","Persoonlijke gegevens"
"Please enter your email below and we'll send you a new password.","Vul hieronder uw emailadres in en we sturen u een nieuw wachtwoord."
"Please enter your email below and we'll send you confirmation link for it.","Vul alstublieft hieronder uw email adres in en we sturen u een bevestiging-link."
"Please enter your email.","Vul uw e-mail adres in a.u.b."
"Please select","Selecteer a.u.b."
"Please select region, state or province","Selecteer een gebied, staat of provincie a.u.b."
"Please, check your e-mail for confirmation key.","Check uw email voor de bevestiging-code.a.u.b."
"Prefix","Titel"
"Prefix dropdown options","Dropdown-opties voorvoegsel"
"Primary Billing Address","Primair factuuradres"
"Primary Shipping Address","Primair afleveradres"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling. Magento sluit af. Fout: %s"
"Product","Product"
"Product ID","Product-ID"
"Product Name","Productnaam"
"Product Reviews","Product-reviews"
"Product Tags","Eigen tags"
"Product name","Productnaam"
"Purchase On","Aankoop op"
"Purchased at","Gekocht bij"
"Qty","Aantal"
"Recent Orders","Recente orders"
"Records for ""","Records voor """
"Refunded","Terugbetaald"
"Remove","Verwijderen"
"Require Emails Confirmation","E-mailbevestiging verplichten"
"Retrieve address data","Adresgegevens ophalen"
"Retrieve address info","Adresgegevens ophalen"
"Retrieve customer addresses","Klantadressen ophalen"
"Retrieve customer data","Klantgegevens ophalen"
"Retrieve customer's groups","Groepen van klant ophalen"
"Retrieve customers","Klanten ophalen"
"Retrieve customers info","Klantgegevens ophalen"
"Retrieve your confirmation link here","Haal hier uw bevestigingslink op"
"Retrieve your password here","Vraag uw wachtwoord hier op"
"SKU","Artikelnummer"
"Sales Statistics","Verkoopstatistiek"
"Save","Opslaan"
"Save Address","Adres opslaan"
"Save Customer","Klant opslaan"
"Save Customer Group","Klantengroep opslaan"
"Save Password","Wachtwoord opslaan"
"Saved","Opgeslagen"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Waarden scheiden met puntkomma (;) <br/>Zet een puntkomma aan het begin voor een lege eerste optie.<br/> Niets invullen voor een leeg tekstveld."
"Send Welcome Email after Confirmation","Welkomstbericht mailen na bevestiging"
"Send auto-generated password","Automatisch gegenereerd wachtwoord versturen"
"Send confirmation link","Bevestingingslink versturen"
"Send welcome email","Welkomstbericht mailen"
"Sending","Bezig met verzenden"
"Sent","Verzonden"
"Session Start Time","Aanvangstijd sessie"
"Set as Default Billing Address","Als standaard-factuuradres instellen"
"Set as Default Shipping Address","Als standaard-afleveradres instellen"
"Share Customer Accounts","Klant-accounts delen"
"Ship to First name","Verzend op voornaam"
"Ship to Last name","Verzend naar achternaam"
"Shipped to First Name","Verzonden aan voornaam"
"Shipped to Last Name","Verzonden aan achternaam"
"Shipped to Name","Verzonden aan naam"
"Shipping Information","Verzendgegevens"
"Shopping Cart","Winkelwagen"
"Shopping Cart - %d item(s)","Winkelwagen - %d artikel(en)"
"Show Tax/VAT number","BTW-nummer tonen"
"Show date of birth","Geboortedatum tonen"
"Show middle name (initial)","Midden-initiaal tonen"
"Show prefix","Voorvoegsel tonen"
"Show suffix","Achtervoegsel tonen"
"Sign Up for Newsletter","Abonneer u op onze nieuwsbrief"
"Sign up for our newsletter","Abonneer op onze nieuwsbrief"
"Skip import row, required field ""%s"" not defined","Sla importeren van rij over, benodigd veld “%s” niet opgegeven"
"Skip import row, website ""%s"" field not exists","Sla importeer-rij over, website ""%s"" veld bestaat niet"
"State/Province","Provincie"
"Status","Status"
"Store","Winkel"
"Store View","Winkelzicht"
"Street Address","Adres"
"Street Address","Adres 2"
"Subject","Onderwerp"
"Submit","Verstuur"
"Subscribe","Inschrijven"
"Subscribe to newsletter","Abonneer op nieuwsbrief"
"Subscribe to Newsletter","Abonneer op nieuwsbrief"
"Subscribed to Newsletter?","Geabonneerd op nieuwsbrief?"
"Suffix","Achtervoegsel"
"Suffix dropdown options","Dropdown-opties achtervoegsel"
"TAX/VAT number is required.","BTW-nummer is verplicht"
"Tag Name","Tag-naam"
"Tax Class","BTW-tariefgroep"
"Tax class","BTW-groep"
"Tax/VAT number","BTW-nummer"
"Telephone","Telefoon"
"Text","Tekst"
"Text One Line","Tekst @eacute;@eacute;n regel"
"The address does not belong to this customer","Dit adres is niet van deze klant"
"The address was successfully deleted","Het adres is verwijderd"
"The address was successfully saved","Het adres is opgeslagen"
"The suffix that goes after name (Jr., Sr., etc.)","De afkorting die achter de naam staat (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","De aanhef die voor de naam staat (heer, mevrouw, etc.)"
"There are no items in customer's wishlist at the moment","Er staan momenteel geen artikelen op de verlanglijst van de klant"
"There are no items in customer's shopping cart at the moment","Op dit moment zitten er geen artikelen in de winkelwagen van de klant"
"There was an error while deleting the address","Er is een fout opgetreden bij het verwijderen van het adres"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Deze e-mail wordt verstuurd in plaats van het standaard-welkomstbericht, na de bevestiging van het account"
"This account is not confirmed.","Dit account is niet bevestigd."
"This customer has no saved addresses.","Deze klant heeft geen opgeslagen adressen."
"This e-mail does not require confirmation.","Deze e-mail hoeft niet bevestigd te worden."
"This email address was not found in our records","Dit e-mail adres is niet gevonden in ons bestand"
"This is My Primary %s Address","Dit is mijn primaire %s-adres"
"To Cart","Naar Winkelwagen"
"Total","Totaal"
"Type","Type"
"Unknown","Onbekend"
"Unsubscribe from newsletter","Uitschrijven bij nieuwsbrief"
"Update","Bijwerken"
"Update customer address data","Adresgegevens van klant updaten"
"Update customer data","Klantgegevens updaten"
"Use as My Primary %s Address","Als mijn primaire %s-adres gebruiken"
"Use as my default billing address","Als mijn standaard-factuuradres gebruiken"
"Use as my default shipping address","Als mijn standaard-afleveradres"
"User description","Beschrijving gebruikers"
"View","Bekijken"
"View Order","Bestelling bekijken"
"View Order List","Bestellijst bekijken"
"Visible In","Zichtbaar in"
"Visitor","Bezoeker"
"Visitors Only","Alleen bezoekers"
"Website","Website"
"Welcome Email","Welkomst-mail"
"Wishlist","Verlanglijst"
"Wishlist - %d item(s)","Verlanglijst - %d artikel(en)"
"Wrong confirmation key.","Onjuiste bevestigingscode"
"Wrong customer account specified.","Onjuist klant-account gespecificeerd."
"Wrong email.","Onjuist e-mailadres."
"Wrong region id by selected country","Fout gebied-id bij geselecteerd land"
"Wrong transactional account email type.","Onjuist type transactionele e-mail"
"XML","XML"
"YYYY","JJJJ"
"Year","Jaar"
"You are currently not subscribed to any newsletter.","Momenteel bent u niet op een nieuwsbrief geabonneerd."
"You are currently not subscribed to our newsletter","Momenteel bent u niet geabonneerd op onze nieuwsbrief."
"You are currently subscribed to 'General Subscription'.","Momenteel bent u geabonneerd op het Algemene Abonnement."
"You are currently subscribed to our newsletter","U bent momenteel geabonneerd op onze nieuwsbrief"
"You are currently subscribed to our newsletter.","U bent momenteel geabonneerd op onze nieuwsbrief."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","U bent nu uitgelogd en wordt binnen 5 seconden naar onze homepage doorgestuurd."
"You have no additional address entries in your address book.","U hebt geen extra adressen in uw adresboek."
"You have no additional entries in your address book.","U hebt geen extra adressen in uw adresboek."
"You have no default billing address in your address book.","U hebt geen standaard-factuuradres in uw adresboek."
"You have no default shipping address in your address book.","Uw hebt geen standaard-afleveradres in uw adresboek."
"You have no primary entries in your address book.","U hebt geen primaire adressen in uw adresboek"
"You have not set a primary billing address.","U heeft geen primair factuuradres ingesteld."
"You have not set a primary shipping address.","U hebt geen primair afleveradres ingesteld."
"You have placed no orders yet.","U hebt nog geen bestellingen geplaatst."
"You have placed no products yet.","U hebt nog geen producten toegevoegd."
"You're now Logged Out","U bent nu uitgelogd"
"Your account balance is: %s","De balans van uw account is: %s"
"ZIP","Postcode"
"ZIP/Post Code","Postcode"
"ZIP/Postal Code","Postcode"
"Zip/Postal Code","Postcode"
"n/a","n.v.t."
"or","of"
"How can we help you?","Hoe kunnen we je helpen?"
"Popular topics:", "Populaire onderwerpen:"
"Topics", "Onderwerpen"
"Email address", "Emailadres"
"Name", "Naam"
"Question related to", "Mijn ondersteuning heeft te maken met"
"My preferred solution", "Gewenste oplossing"
